City,Variable,Scores
Denver,AVG Temp (Jan),0.266812174
Denver,AVG Temp (April),0.155967428
Denver,AVG Temp (July),0.369305782
Denver,AVG Temp (Oct),0.148924083
Denver,Yearly AVG Temp,0.19969155
Denver,average rainfall,0.042771811
Denver,average snowfall,0.973910898
Denver,Presence of Sports Teams,0.61663932
Denver,Public Parks,0.527498635
Denver,Total Population,0.364272838
Denver,Age (25-34),0.389902971
Denver,Population,0.490345811
Denver,Bar Density per 100k,0.554039256
Denver,Public Transportation,0.462898874
Houston,Unemployment Rate,0.837290751
Houston,Tax rate,0.094754119
Houston,Crime Rate,0.841095992
Houston,Number of Concert Venues,0.035220215
Houston,number of breweries ,0.868223761
Houston,median 1 BR rent,0.297774262
Houston,AVG Temp (Jan),0.852570365
Houston,AVG Temp (April),0.934109576
Houston,AVG Temp (July),0.91967231
Houston,AVG Temp (Oct),0.920199341
Houston,Yearly AVG Temp,0.924571179
Houston,average rainfall,0.777972065
Houston,average snowfall,0.163253255
Houston,Presence of Sports Teams,0.559314138
Houston,Public Parks,0.047473783
Houston,Total Population,0.720538439
Houston,Age (25-34),0.715021368
Houston,Population,0.151334974
Houston,Bar Density per 100k,0.138521509
Houston,Public Transportation,0.222030268
Indianapolis,Unemployment Rate,0.178802099
Indianapolis,Tax rate,0.296693095
Indianapolis,Crime Rate,0.735790696
Indianapolis,Number of Concert Venues,0.5
Indianapolis,number of breweries ,0.036819135
Indianapolis,median 1 BR rent,0.197660361
Indianapolis,AVG Temp (Jan),0.205539381
Indianapolis,AVG Temp (April),0.315256537
Indianapolis,AVG Temp (July),0.502716797
Indianapolis,AVG Temp (Oct),0.278639192
Indianapolis,Yearly AVG Temp,0.269240353
Indianapolis,average rainfall,0.591290314
Indianapolis,average snowfall,0.565730082
Indianapolis,Presence of Sports Teams,0.439573338
Indianapolis,Public Parks,0.499090234
Indianapolis,Total Population,0.395266347
Indianapolis,Age (25-34),0.375336257
Indianapolis,Population,0.240171088
Indianapolis,Bar Density per 100k,0.948499843
Indianapolis,Public Transportation,0.05587761
Los Angeles,Unemployment Rate,0.903303084
Los Angeles,Tax rate,0.970748187
Los Angeles,Crime Rate,0.480222926
Los Angeles,Number of Concert Venues,0.035220215
Los Angeles,number of breweries ,0.036819135
Los Angeles,median 1 BR rent,0.727669735
Los Angeles,AVG Temp (Jan),0.924947305
Los Angeles,AVG Temp (April),0.718815538
Los Angeles,AVG Temp (July),0.15110097
Los Angeles,AVG Temp (Oct),0.832692365
Los Angeles,Yearly AVG Temp,0.790074516
Los Angeles,average rainfall,0.027068414
Los Angeles,average snowfall,0.158487632
Los Angeles,Presence of Sports Teams,0.952493539
Los Angeles,Public Parks,0.098151146
Los Angeles,Total Population,0.94003805
Los Angeles,Age (25-34),0.921925007
Los Angeles,Population,0.165431881
Los Angeles,Bar Density per 100k,0.051500157
Los Angeles,Public Transportation,0.552894443
Louisville,Unemployment Rate,0.873271802
Louisville,Tax rate,0.553042249
Louisville,Crime Rate,0.591663557
Louisville,Number of Concert Venues,0.817143852
Louisville,number of breweries ,0.036819135
Louisville,median 1 BR rent,0.183589739
Louisville,AVG Temp (Jan),0.366293679
Louisville,AVG Temp (April),0.51960443
Louisville,AVG Temp (July),0.697618737
Louisville,AVG Temp (Oct),0.462208603
Louisville,Yearly AVG Temp,0.476032277
Louisville,average rainfall,0.694750853
Louisville,average snowfall,0.420563983
Louisville,Presence of Sports Teams,0.050694177
Louisville,Public Parks,0.031282506
Louisville,Total Population,0.342958387
Louisville,Age (25-34),0.305053646
Louisville,Population,0.130351384
Louisville,Bar Density per 100k,0.912884306
Louisville,Public Transportation,0.101584294
Miami,Unemployment Rate,0.32848193
Miami,Tax rate,0.094754119
Miami,Crime Rate,0.612908866
Miami,Number of Concert Venues,0.035220215
Miami,number of breweries ,0.036819135
Miami,median 1 BR rent,0.486992934
Miami,AVG Temp (Jan),0.987838649
Miami,AVG Temp (April),0.991217441
Miami,AVG Temp (July),0.922181004
Miami,AVG Temp (Oct),0.993171182
Miami,Yearly AVG Temp,0.992538811
Miami,average rainfall,0.94460439
Miami,average snowfall,0.158487632
Miami,Presence of Sports Teams,0.529671581
Miami,Public Parks,0.180237768
Miami,Total Population,0.313845941
Miami,Age (25-34),0.278059352
Miami,Population,0.5
Miami,Bar Density per 100k,0.445960744
Miami,Public Transportation,0.684852042
Milwaukee,Unemployment Rate,0.223230136
Milwaukee,Tax rate,0.702232639
Milwaukee,Crime Rate,0.941304546
Milwaukee,Number of Concert Venues,0.035220215
Milwaukee,number of breweries ,0.036819135
Milwaukee,median 1 BR rent,0.216137046
Milwaukee,AVG Temp (Jan),0.105543537
Milwaukee,AVG Temp (April),0.096740227
Milwaukee,AVG Temp (July),0.283645951
Milwaukee,AVG Temp (Oct),0.160941532
Milwaukee,Yearly AVG Temp,0.112419444
Milwaukee,average rainfall,0.403054149
Milwaukee,average snowfall,0.90193977
Milwaukee,Presence of Sports Teams,0.07395955
Milwaukee,Public Parks,0.659482288
Milwaukee,Total Population,0.336023029
Milwaukee,Age (25-34),0.286865259
Milwaukee,Population,0.81346708
Milwaukee,Bar Density per 100k,0.829226418
Milwaukee,Public Transportation,0.479919557
Minneapolis,Unemployment Rate,0.021167494
Minneapolis,Tax rate,0.855611369
Minneapolis,Crime Rate,0.425909083
Minneapolis,Number of Concert Venues,0.035220215
Minneapolis,number of breweries ,0.185546685
Minneapolis,median 1 BR rent,0.350431568
Minneapolis,AVG Temp (Jan),0.03497949
Minneapolis,AVG Temp (April),0.128888147
Minneapolis,AVG Temp (July),0.356532504
Minneapolis,AVG Temp (Oct),0.091557775
Minneapolis,Yearly AVG Temp,0.0729947
Minneapolis,average rainfall,0.253230402
Minneapolis,average snowfall,0.924240971
Minneapolis,Presence of Sports Teams,0.590289695
Minneapolis,Public Parks,0.95135844
Minneapolis,Total Population,0.302069135
Minneapolis,Age (25-34),0.311696305
Minneapolis,Population,0.18987187
Minneapolis,Bar Density per 100k,0.293395213
Minneapolis,Public Transportation,0.693485602
Nashville,Unemployment Rate,0.223230136
Nashville,Tax rate,0.277815957
Nashville,Crime Rate,0.448000267
Nashville,Number of Concert Venues,0.065834008
Nashville,number of breweries ,0.036819135
Nashville,median 1 BR rent,0.35926219
Nashville,AVG Temp (Jan),0.475723946
Nashville,AVG Temp (April),0.618748068
Nashville,AVG Temp (July),0.737852855
Nashville,AVG Temp (Oct),0.532577494
Nashville,Yearly AVG Temp,0.575080093
Nashville,average rainfall,0.784156377
Nashville,average snowfall,0.305775428
Nashville,Presence of Sports Teams,0.350134761
Nashville,Public Parks,0.148535639
Nashville,Total Population,0.354371368
Nashville,Age (25-34),0.361066343
Nashville,Population,0.555386928
Nashville,Bar Density per 100k,0.792532374
Nashville,Public Transportation,0.063102213
New Orleans,Unemployment Rate,0.981854691
New Orleans,Tax rate,0.553042249
New Orleans,Crime Rate,0.950008658
New Orleans,Number of Concert Venues,0.726753202
New Orleans,number of breweries ,0.036819135
New Orleans,median 1 BR rent,0.266460958
New Orleans,AVG Temp (Jan),0.865774411
New Orleans,AVG Temp (April),0.929350202
New Orleans,AVG Temp (July),0.894285296
New Orleans,AVG Temp (Oct),0.912442514
New Orleans,Yearly AVG Temp,0.920960955
New Orleans,average rainfall,0.978892697
New Orleans,average snowfall,0.160858922
New Orleans,Presence of Sports Teams,0.293171036
New Orleans,Public Parks,0.567004573
New Orleans,Total Population,0.296937999
New Orleans,Age (25-34),0.287681831
New Orleans,Population,0.976996393
New Orleans,Bar Density per 100k,0.861478491
New Orleans,Public Transportation,0.377089861
New York,Unemployment Rate,0.747346646
New York,Tax rate,0.791800109
New York,Crime Rate,0.321965167
New York,Number of Concert Venues,0.035220215
New York,number of breweries ,0.411531637
New York,median 1 BR rent,0.98615872
New York,AVG Temp (Jan),0.341566951
New York,AVG Temp (April),0.336965637
New York,AVG Temp (July),0.57694592
New York,AVG Temp (Oct),0.36897397
New York,Yearly AVG Temp,0.371357798
New York,average rainfall,0.818292567
New York,average snowfall,0.653523632
New York,Presence of Sports Teams,0.958222784
New York,Public Parks,0.838494389
New York,Total Population,0.999984652
New York,Age (25-34),0.999985801
New York,Population,0.388384763
New York,Bar Density per 100k,0.067508691
New York,Public Transportation,0.986044321
Philadelphia,Unemployment Rate,0.837290751
Philadelphia,Tax rate,0.283498721
Philadelphia,Crime Rate,0.812408028
Philadelphia,Number of Concert Venues,0.934165992
Philadelphia,number of breweries ,0.814453315
Philadelphia,median 1 BR rent,0.401124041
Philadelphia,AVG Temp (Jan),0.347007754
Philadelphia,AVG Temp (April),0.363746094
Philadelphia,AVG Temp (July),0.648533016
Philadelphia,AVG Temp (Oct),0.397865069
Philadelphia,Yearly AVG Temp,0.401173732
Philadelphia,average rainfall,0.624074158
Philadelphia,average snowfall,0.505684022
Philadelphia,Presence of Sports Teams,0.770362619
Philadelphia,Public Parks,0.47352251
Philadelphia,Total Population,0.557172767
Philadelphia,Age (25-34),0.549062386
Philadelphia,Population,0.577784261
Philadelphia,Bar Density per 100k,0.341776438
Philadelphia,Public Transportation,0.85723437
Pittsburgh,Unemployment Rate,0.636433835
Pittsburgh,Tax rate,0.283498721
Pittsburgh,Crime Rate,0.099144428
Pittsburgh,Number of Concert Venues,0.6184877
Pittsburgh,number of breweries ,0.036819135
Pittsburgh,median 1 BR rent,0.222511424
Pittsburgh,AVG Temp (Jan),0.227199096
Pittsburgh,AVG Temp (April),0.231462662
Pittsburgh,AVG Temp (July),0.319215517
Pittsburgh,AVG Temp (Oct),0.197156607
Pittsburgh,Yearly AVG Temp,0.211221542
Pittsburgh,average rainfall,0.496162477
Pittsburgh,average snowfall,0.870082225
Pittsburgh,Presence of Sports Teams,0.83866178
Pittsburgh,Public Parks,0.580973707
Pittsburgh,Total Population,0.278940061
Pittsburgh,Age (25-34),0.27628779
Pittsburgh,Population,0.995542373
Pittsburgh,Bar Density per 100k,0.706604787
Pittsburgh,Public Transportation,0.621795387
"Portland, OR",Unemployment Rate,0.51265315
"Portland, OR",Tax rate,0.858331389
"Portland, OR",Crime Rate,0.34048705
"Portland, OR",Number of Concert Venues,0.035220215
"Portland, OR",number of breweries ,0.131776239
"Portland, OR",median 1 BR rent,0.541123245
"Portland, OR",AVG Temp (Jan),0.566780231
"Portland, OR",AVG Temp (April),0.28183512
"Portland, OR",AVG Temp (July),0.108224732
"Portland, OR",AVG Temp (Oct),0.266072063
"Portland, OR",Yearly AVG Temp,0.323040306
"Portland, OR",average rainfall,0.472045704
"Portland, OR",average snowfall,0.247137941
"Portland, OR",Presence of Sports Teams,0.142117758
"Portland, OR",Public Parks,0.892088701
"Portland, OR",Total Population,0.351243129
"Portland, OR",Age (25-34),0.357534881
"Portland, OR",Population,0.940156378
"Portland, OR",Bar Density per 100k,0.658223562
"Portland, OR",Public Transportation,0.55047696
San Diego,Unemployment Rate,0.32848193
San Diego,Tax rate,0.970748187
San Diego,Crime Rate,0.056155341
San Diego,Number of Concert Venues,0.273246798
San Diego,number of breweries ,0.058762434
San Diego,median 1 BR rent,0.851163988
San Diego,AVG Temp (Jan),0.932004169
San Diego,AVG Temp (April),0.7870457
San Diego,AVG Temp (July),0.223830331
San Diego,AVG Temp (Oct),0.853868505
San Diego,Yearly AVG Temp,0.830550295
San Diego,average rainfall,0.017413232
San Diego,average snowfall,0.158487632
San Diego,Presence of Sports Teams,0.23727846
San Diego,Public Parks,0.66728547
San Diego,Total Population,0.52627141
San Diego,Age (25-34),0.53624344
San Diego,Population,0.125938509
San Diego,Bar Density per 100k,0.5
San Diego,Public Transportation,0.225685238
San Francisco,Unemployment Rate,0.060046768
San Francisco,Tax rate,0.970748187
San Francisco,Crime Rate,0.530128522
San Francisco,Number of Concert Venues,0.035220215
San Francisco,number of breweries ,0.5
San Francisco,median 1 BR rent,0.998590444
San Francisco,AVG Temp (Jan),0.807897777
San Francisco,AVG Temp (April),0.509997395
San Francisco,AVG Temp (July),0.016243914
San Francisco,AVG Temp (Oct),0.587268793
San Francisco,Yearly AVG Temp,0.514575123
San Francisco,average rainfall,0.082902005
San Francisco,average snowfall,0.158487632
San Francisco,Presence of Sports Teams,0.338727129
San Francisco,Public Parks,0.908299481
San Francisco,Total Population,0.401417883
San Francisco,Age (25-34),0.447969948
San Francisco,Population,0.872253505
San Francisco,Bar Density per 100k,0.170773582
San Francisco,Public Transportation,0.971223417
Seattle,Unemployment Rate,0.636433835
Seattle,Tax rate,0.094754119
Seattle,Crime Rate,0.310915525
Seattle,Number of Concert Venues,0.035220215
Seattle,number of breweries ,0.588468363
Seattle,median 1 BR rent,0.711691346
Seattle,AVG Temp (Jan),0.595639636
Seattle,AVG Temp (April),0.242622757
Seattle,AVG Temp (July),0.043381283
Seattle,AVG Temp (Oct),0.204234816
Seattle,Yearly AVG Temp,0.275452588
Seattle,average rainfall,0.485024569
Seattle,average snowfall,0.25178433
Seattle,Presence of Sports Teams,0.41152178
Seattle,Public Parks,0.805109243
Seattle,Total Population,0.370098614
Seattle,Age (25-34),0.397244326
Seattle,Population,0.448780088
Seattle,Bar Density per 100k,0.248452924
Seattle,Public Transportation,0.734990442
