City,Variable,Scores,Lat,Long
San Diego,AVG Temp (July),70.9,32°42.56,117°9.53
San Diego,AVG Temp (Oct),67.6,32°42.56,117°9.53
San Diego,Yearly AVG Temp,64.73,32°42.56,117°9.53
San Diego,average rainfall,0.017413232,32°42.56,117°9.53
San Diego,average snowfall,0.158487632,32°42.56,117°9.53
San Diego,Presence of Sports Teams,0.23727846,32°42.56,117°9.53
San Diego,Public Parks,0.66728547,32°42.56,117°9.53
San Diego,Total Population,0.52627141,32°42.56,117°9.53
San Diego,Age (25-34),0.53624344,32°42.56,117°9.53
San Diego,Population,0.125938509,32°42.56,117°9.53
San Diego,Bar Density per 100k,0.5,32°42.56,117°9.53
San Diego,Public Transportation,0.225685238,32°42.56,117°9.53
San Francisco,Unemployment Rate,0.060046768,37°46.29,122°25.9
San Francisco,Tax rate,0.970748187,37°46.29,122°25.9
San Francisco,Crime Rate,0.530128522,37°46.29,122°25.9
San Francisco,Number of Concert Venues,0.035220215,37°46.29,122°25.9
San Francisco,number of breweries ,0.5,37°46.29,122°25.9
San Francisco,median 1 BR rent,0.998590444,37°46.29,122°25.9
San Francisco,AVG Temp (Jan),49.4,37°46.29,122°25.9
San Francisco,AVG Temp (April),56.2,37°46.29,122°25.9
San Francisco,AVG Temp (July),62.8,37°46.29,122°25.9
San Francisco,AVG Temp (Oct),61,37°46.29,122°25.9
San Francisco,Yearly AVG Temp,57.35,37°46.29,122°25.9
San Francisco,average rainfall,0.082902005,37°46.29,122°25.9
San Francisco,average snowfall,0.158487632,37°46.29,122°25.9
San Francisco,Presence of Sports Teams,0.338727129,37°46.29,122°25.9
San Francisco,Public Parks,0.908299481,37°46.29,122°25.9
San Francisco,Total Population,0.401417883,37°46.29,122°25.9
San Francisco,Age (25-34),0.447969948,37°46.29,122°25.9
San Francisco,Population,0.872253505,37°46.29,122°25.9
San Francisco,Bar Density per 100k,0.170773582,37°46.29,122°25.9
San Francisco,Public Transportation,0.971223417,37°46.29,122°25.9
Seattle,Unemployment Rate,0.636433835,47°36.22,122°19.55
Seattle,Tax rate,0.094754119,47°36.22,122°19.55
Seattle,Crime Rate,0.310915525,47°36.22,122°19.55
Seattle,Number of Concert Venues,0.035220215,47°36.22,122°19.55
Seattle,number of breweries ,0.588468363,47°36.22,122°19.55
Seattle,median 1 BR rent,0.711691346,47°36.22,122°19.55
Seattle,AVG Temp (Jan),40.9,47°36.22,122°19.55
Seattle,AVG Temp (April),50.2,47°36.22,122°19.55
Seattle,AVG Temp (July),65.3,47°36.22,122°19.55
Seattle,AVG Temp (Oct),52.7,47°36.22,122°19.55
Seattle,Yearly AVG Temp,52.28,47°36.22,122°19.55
Seattle,average rainfall,0.485024569,47°36.22,122°19.55
Seattle,average snowfall,0.25178433,47°36.22,122°19.55
Seattle,Presence of Sports Teams,0.41152178,47°36.22,122°19.55
Seattle,Public Parks,0.805109243,47°36.22,122°19.55
Seattle,Total Population,0.370098614,47°36.22,122°19.55
Seattle,Age (25-34),0.397244326,47°36.22,122°19.55
Seattle,Population,0.448780088,47°36.22,122°19.55
Seattle,Bar Density per 100k,0.248452924,47°36.22,122°19.55
Seattle,Public Transportation,0.734990442,47°36.22,122°19.55
