City,Variable,Scores,Lat,Long
Cleveland,Number of Concert Venues,0.035220215,41°29.58,81°41.43
Cleveland,number of breweries ,0.036819135,41°29.58,81°41.43
Cleveland,median 1 BR rent,0.170707314,41°29.58,81°41.43
Cleveland,AVG Temp (Jan),25.7,41°29.58,81°41.43
Cleveland,AVG Temp (April),47.6,41°29.58,81°41.43
Cleveland,AVG Temp (July),71.9,41°29.58,81°41.43
Cleveland,AVG Temp (Oct),52.2,41°29.58,81°41.43
Cleveland,Yearly AVG Temp,49.35,41°29.58,81°41.43
Cleveland,average rainfall,0.522765537,41°29.58,81°41.43
Cleveland,average snowfall,0.964845391,41°29.58,81°41.43
Cleveland,Presence of Sports Teams,0.605992245,41°29.58,81°41.43
Cleveland,Public Parks,0.406153244,41°29.58,81°41.43
Cleveland,Total Population,0.29431818,41°29.58,81°41.43
Cleveland,Age (25-34),0.293486282,41°29.58,81°41.43
Cleveland,Population,0.721617672,41°29.58,81°41.43
Cleveland,Bar Density per 100k,0.889308559,41°29.58,81°41.43
Cleveland,Public Transportation,0.445945857,41°29.58,81°41.43
Columbus,Unemployment Rate,0.575475659,39°57.40,82°59.55
Columbus,Tax rate,0.456891119,39°57.40,82°59.55
Columbus,Crime Rate,0.26946297,39°57.40,82°59.55
Columbus,Number of Concert Venues,0.035220215,39°57.40,82°59.55
Columbus,number of breweries ,0.672639577,39°57.40,82°59.55
Columbus,median 1 BR rent,0.165291291,39°57.40,82°59.55
Columbus,AVG Temp (Jan),28.3,39°57.40,82°59.55
Columbus,AVG Temp (April),52,39°57.40,82°59.55
Columbus,AVG Temp (July),75.1,39°57.40,82°59.55
Columbus,AVG Temp (Oct),54.7,39°57.40,82°59.55
Columbus,Yearly AVG Temp,52.53,39°57.40,82°59.55
Columbus,average rainfall,0.516892689,39°57.40,82°59.55
Columbus,average snowfall,0.646293609,39°57.40,82°59.55
Columbus,Presence of Sports Teams,0.093275251,39°57.40,82°59.55
Columbus,Public Parks,0.108387858,39°57.40,82°59.55
Columbus,Total Population,0.399537456,39°57.40,82°59.55
Columbus,Age (25-34),0.412105849,39°57.40,82°59.55
Columbus,Population,0.378484167,39°57.40,82°59.55
Columbus,Bar Density per 100k,0.932491309,39°57.40,82°59.55
Columbus,Public Transportation,0.131399858,39°57.40,82°59.55
Dallas,Unemployment Rate,0.449514422,32°46.59,96°48.24
Dallas,Tax rate,0.094754119,32°46.59,96°48.24
Dallas,Crime Rate,0.348600596,32°46.59,96°48.24
Dallas,Number of Concert Venues,0.035220215,32°46.59,96°48.24
Dallas,number of breweries ,0.748832523,32°46.59,96°48.24
Dallas,median 1 BR rent,0.340098988,32°46.59,96°48.24
Dallas,AVG Temp (Jan),44.1,32°46.59,96°48.24
Dallas,AVG Temp (April),65,32°46.59,96°48.24
Dallas,AVG Temp (July),85,32°46.59,96°48.24
Dallas,AVG Temp (Oct),67.2,32°46.59,96°48.24
Dallas,Yearly AVG Temp,65.33,32°46.59,96°48.24
Dallas,average rainfall,0.400653601,32°46.59,96°48.24
Dallas,average snowfall,0.191106692,32°46.59,96°48.24
Dallas,Presence of Sports Teams,0.664145167,32°46.59,96°48.24
Dallas,Public Parks,0.195598628,32°46.59,96°48.24
Dallas,Total Population,0.508203549,32°46.59,96°48.24
Dallas,Age (25-34),0.499554019,32°46.59,96°48.24
Dallas,Population,0.138239416,32°46.59,96°48.24
Dallas,Bar Density per 100k,0.110691441,32°46.59,96°48.24
Dallas,Public Transportation,0.278221697,32°46.59,96°48.24
Denver,Unemployment Rate,0.223230136,39°44.20,104°59.4
Denver,Tax rate,0.422039538,39°44.20,104°59.4
Denver,Crime Rate,0.199396,39°44.20,104°59.4
Denver,Number of Concert Venues,0.182856148,39°44.20,104°59.4
Denver,number of breweries ,0.089856247,39°44.20,104°59.4
Denver,median 1 BR rent,0.484413371,39°44.20,104°59.4
Denver,AVG Temp (Jan),29.2,39°44.20,104°59.4
Denver,AVG Temp (April),47.6,39°44.20,104°59.4
Denver,AVG Temp (July),73.4,39°44.20,104°59.4
Denver,AVG Temp (Oct),51,39°44.20,104°59.4
Denver,Yearly AVG Temp,50.3,39°44.20,104°59.4
Denver,average rainfall,0.042771811,39°44.20,104°59.4
Denver,average snowfall,0.973910898,39°44.20,104°59.4
Denver,Presence of Sports Teams,0.61663932,39°44.20,104°59.4
Denver,Public Parks,0.527498635,39°44.20,104°59.4
Denver,Total Population,0.364272838,39°44.20,104°59.4
Denver,Age (25-34),0.389902971,39°44.20,104°59.4
Denver,Population,0.490345811,39°44.20,104°59.4
Denver,Bar Density per 100k,0.554039256,39°44.20,104°59.4
Denver,Public Transportation,0.462898874,39°44.20,104°59.4
Houston,Unemployment Rate,0.837290751,29°45.47,95°21.47
Houston,Tax rate,0.094754119,29°45.47,95°21.47
Houston,Crime Rate,0.841095992,29°45.47,95°21.47
Houston,Number of Concert Venues,0.035220215,29°45.47,95°21.47
Houston,number of breweries ,0.868223761,29°45.47,95°21.47
Houston,median 1 BR rent,0.297774262,29°45.47,95°21.47
Houston,AVG Temp (Jan),51.8,29°45.47,95°21.47
Houston,AVG Temp (April),68.5,29°45.47,95°21.47
Houston,AVG Temp (July),83.6,29°45.47,95°21.47
Houston,AVG Temp (Oct),70.4,29°45.47,95°21.47
Houston,Yearly AVG Temp,68.58,29°45.47,95°21.47
Houston,average rainfall,0.777972065,29°45.47,95°21.47
Houston,average snowfall,0.163253255,29°45.47,95°21.47
Houston,Presence of Sports Teams,0.559314138,29°45.47,95°21.47
Houston,Public Parks,0.047473783,29°45.47,95°21.47
Houston,Total Population,0.720538439,29°45.47,95°21.47
Houston,Age (25-34),0.715021368,29°45.47,95°21.47
Houston,Population,0.151334974,29°45.47,95°21.47
Houston,Bar Density per 100k,0.138521509,29°45.47,95°21.47
Houston,Public Transportation,0.222030268,29°45.47,95°21.47
Indianapolis,Unemployment Rate,0.178802099,39°46.6,86°9.28
Indianapolis,Tax rate,0.296693095,39°46.6,86°9.28
Indianapolis,Crime Rate,0.735790696,39°46.6,86°9.28
Indianapolis,Number of Concert Venues,0.5,39°46.6,86°9.28
Indianapolis,number of breweries ,0.036819135,39°46.6,86°9.28
Indianapolis,median 1 BR rent,0.197660361,39°46.6,86°9.28
Indianapolis,AVG Temp (Jan),26.5,39°46.6,86°9.28
Indianapolis,AVG Temp (April),52,39°46.6,86°9.28
Indianapolis,AVG Temp (July),75.4,39°46.6,86°9.28
Indianapolis,AVG Temp (Oct),54.6,39°46.6,86°9.28
Indianapolis,Yearly AVG Temp,52.13,39°46.6,86°9.28
Indianapolis,average rainfall,0.591290314,39°46.6,86°9.28
Indianapolis,average snowfall,0.565730082,39°46.6,86°9.28
Indianapolis,Presence of Sports Teams,0.439573338,39°46.6,86°9.28
Indianapolis,Public Parks,0.499090234,39°46.6,86°9.28
Indianapolis,Total Population,0.395266347,39°46.6,86°9.28
Indianapolis,Age (25-34),0.375336257,39°46.6,86°9.28
Indianapolis,Population,0.240171088,39°46.6,86°9.28
Indianapolis,Bar Density per 100k,0.948499843,39°46.6,86°9.28
Indianapolis,Public Transportation,0.05587761,39°46.6,86°9.28
Los Angeles,Unemployment Rate,0.903303084,34°3.8,118°14.37
Los Angeles,Tax rate,0.970748187,34°3.8,118°14.37
Los Angeles,Crime Rate,0.480222926,34°3.8,118°14.37
Los Angeles,Number of Concert Venues,0.035220215,34°3.8,118°14.37
Los Angeles,number of breweries ,0.036819135,34°3.8,118°14.37
Los Angeles,median 1 BR rent,0.727669735,34°3.8,118°14.37
Los Angeles,AVG Temp (Jan),57.1,34°3.8,118°14.37
Los Angeles,AVG Temp (April),60.8,34°3.8,118°14.37
Los Angeles,AVG Temp (July),69.3,34°3.8,118°14.37
Los Angeles,AVG Temp (Oct),66.9,34°3.8,118°14.37
Los Angeles,Yearly AVG Temp,63.53,34°3.8,118°14.37
Los Angeles,average rainfall,0.027068414,34°3.8,118°14.37
Los Angeles,average snowfall,0.158487632,34°3.8,118°14.37
Los Angeles,Presence of Sports Teams,0.952493539,34°3.8,118°14.37
Los Angeles,Public Parks,0.098151146,34°3.8,118°14.37
Los Angeles,Total Population,0.94003805,34°3.8,118°14.37
Los Angeles,Age (25-34),0.921925007,34°3.8,118°14.37
Los Angeles,Population,0.165431881,34°3.8,118°14.37
Los Angeles,Bar Density per 100k,0.051500157,34°3.8,118°14.37
Los Angeles,Public Transportation,0.552894443,34°3.8,118°14.37
Louisville,Unemployment Rate,0.873271802,38°15.15,85°45.33
Louisville,Tax rate,0.553042249,38°15.15,85°45.33
Louisville,Crime Rate,0.591663557,38°15.15,85°45.33
Louisville,Number of Concert Venues,0.817143852,38°15.15,85°45.33
Louisville,number of breweries ,0.036819135,38°15.15,85°45.33
Louisville,median 1 BR rent,0.183589739,38°15.15,85°45.33
Louisville,AVG Temp (Jan),33,38°15.15,85°45.33
Louisville,AVG Temp (April),56.4,38°15.15,85°45.33
Louisville,AVG Temp (July),78.4,38°15.15,85°45.33
Louisville,AVG Temp (Oct),58.5,38°15.15,85°45.33
Louisville,Yearly AVG Temp,56.58,38°15.15,85°45.33
Louisville,average rainfall,0.694750853,38°15.15,85°45.33
Louisville,average snowfall,0.420563983,38°15.15,85°45.33
Louisville,Presence of Sports Teams,0.050694177,38°15.15,85°45.33
Louisville,Public Parks,0.031282506,38°15.15,85°45.33
Louisville,Total Population,0.342958387,38°15.15,85°45.33
Louisville,Age (25-34),0.305053646,38°15.15,85°45.33
Louisville,Population,0.130351384,38°15.15,85°45.33
Louisville,Bar Density per 100k,0.912884306,38°15.15,85°45.33
Louisville,Public Transportation,0.101584294,38°15.15,85°45.33
Miami,Unemployment Rate,0.32848193,25°46.27,80°11.37
Miami,Tax rate,0.094754119,25°46.27,80°11.37
Miami,Crime Rate,0.612908866,25°46.27,80°11.37
Miami,Number of Concert Venues,0.035220215,25°46.27,80°11.37
Miami,number of breweries ,0.036819135,25°46.27,80°11.37
Miami,median 1 BR rent,0.486992934,25°46.27,80°11.37
Miami,AVG Temp (Jan),68.1,25°46.27,80°11.37
Miami,AVG Temp (April),75.7,25°46.27,80°11.37
Miami,AVG Temp (July),83.7,25°46.27,80°11.37
Miami,AVG Temp (Oct),78.8,25°46.27,80°11.37
Miami,Yearly AVG Temp,76.58,25°46.27,80°11.37
Miami,average rainfall,0.94460439,25°46.27,80°11.37
Miami,average snowfall,0.158487632,25°46.27,80°11.37
Miami,Presence of Sports Teams,0.529671581,25°46.27,80°11.37
Miami,Public Parks,0.180237768,25°46.27,80°11.37
Miami,Total Population,0.313845941,25°46.27,80°11.37
Miami,Age (25-34),0.278059352,25°46.27,80°11.37
Miami,Population,0.5,25°46.27,80°11.37
Miami,Bar Density per 100k,0.445960744,25°46.27,80°11.37
Miami,Public Transportation,0.684852042,25°46.27,80°11.37
Milwaukee,Unemployment Rate,0.223230136,43°2.20,87°54.23
Milwaukee,Tax rate,0.702232639,43°2.20,87°54.23
Milwaukee,Crime Rate,0.941304546,43°2.20,87°54.23
Milwaukee,Number of Concert Venues,0.035220215,43°2.20,87°54.23
Milwaukee,number of breweries ,0.036819135,43°2.20,87°54.23
Milwaukee,median 1 BR rent,0.216137046,43°2.20,87°54.23
Milwaukee,AVG Temp (Jan),20.7,43°2.20,87°54.23
Milwaukee,AVG Temp (April),45.2,43°2.20,87°54.23
Milwaukee,AVG Temp (July),72,43°2.20,87°54.23
Milwaukee,AVG Temp (Oct),51.4,43°2.20,87°54.23
Milwaukee,Yearly AVG Temp,47.33,43°2.20,87°54.23
Milwaukee,average rainfall,0.403054149,43°2.20,87°54.23
Milwaukee,average snowfall,0.90193977,43°2.20,87°54.23
Milwaukee,Presence of Sports Teams,0.07395955,43°2.20,87°54.23
Milwaukee,Public Parks,0.659482288,43°2.20,87°54.23
Milwaukee,Total Population,0.336023029,43°2.20,87°54.23
Milwaukee,Age (25-34),0.286865259,43°2.20,87°54.23
Milwaukee,Population,0.81346708,43°2.20,87°54.23
Milwaukee,Bar Density per 100k,0.829226418,43°2.20,87°54.23
Milwaukee,Public Transportation,0.479919557,43°2.20,87°54.23
Minneapolis,Unemployment Rate,0.021167494,44°58.47,93°15.49
Minneapolis,Tax rate,0.855611369,44°58.47,93°15.49
Minneapolis,Crime Rate,0.425909083,44°58.47,93°15.49
Minneapolis,Number of Concert Venues,0.035220215,44°58.47,93°15.49
Minneapolis,number of breweries ,0.185546685,44°58.47,93°15.49
Minneapolis,median 1 BR rent,0.350431568,44°58.47,93°15.49
Minneapolis,AVG Temp (Jan),13.1,44°58.47,93°15.49
Minneapolis,AVG Temp (April),46.6,44°58.47,93°15.49
Minneapolis,AVG Temp (July),73.2,44°58.47,93°15.49
